state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average,total_population,foreign_born_est_prop,l1_africa,l1_americas,l1_asia,l1_europe,l1_oceania,l2_africa_eastern_africa,l2_africa_middle_africa,l2_africa_northern_africa,l2_africa_southern_africa,l2_africa_western_africa,l2_americas_latin_america,l2_americas_northern_america,l2_asia_eastern_asia,l2_asia_south_central_asia,l2_asia_south_eastern_asia,l2_asia_western_asia,l2_europe_eastern_europe,l2_europe_northern_europe,l2_europe_southern_europe,l2_europe_western_europe,l2_oceania_australia_nzealand_subregion,origin_prop
New Jersey,Jersey City,El Salvador,0,0,0,0,0,0,0,6,9,2,3,-33.33,265932,41.72,10.5143135275454,34.7788073262186,48.5668445341794,5.89937265647534,0.240661955581194,1.8757210845111,0.605710989327949,6.19682001730603,0.145118257859821,1.49805307182002,34.3182145947505,0.460592731468128,8.7954283241996,25.8301485434093,12.6829751946928,1.13751081626767,2.65990049033747,1.08613354485146,1.30155754254399,0.851781078742429,0.191988751081627,1.35113210268243
New York,New York,Belarus,2,7,0,0,0,0,6,2,7,0,3,-100,8560072,37.15,4.57401142166418,51.3277739641275,29.062698401967,14.7015955802606,0.333920631980723,0.285494436176003,0.0977957590601796,0.94651200891042,0.120342241132896,2.7256401298451,50.5790232184741,0.748750745653356,15.1674933186,8.30172790326836,3.19348749424939,2.33643816525093,8.84303214650371,1.61919589245234,2.58360043734515,1.6138501435648,0.304047329373915,0.387912695744815
New York,Queens,China,0,4,1,1,8,5,0,2,0,0,3,-100,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Candler,Ukraine,0,0,0,7,0,0,0,4,11,9,3,200,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Monroe,Moldova,5,0,0,0,0,0,6,0,9,0,3,-100,34368,17.4,1.68868082260492,88.0287577328206,3.9123892325698,6.37017221200468,0,0,1.32084935629493,0,0,0.167196121049992,87.6107674301956,0.417990302624979,0.535027587359973,1.67196121049992,1.70540043470991,0,4.0795853536198,0.635345259989968,0.417990302624979,1.23725129576994,0,0.769102156829962
Ohio,Canton,Iraq,5,8,1,0,0,4,2,4,5,0,3,-100,71763,2.54,4.93421052631579,53.015350877193,18.0921052631579,23.9583333333333,0,0.274122807017544,0,0.548245614035088,0,3.50877192982456,51.9736842105263,1.04166666666667,8.55263157894737,2.41228070175439,4.16666666666667,2.96052631578947,11.1842105263158,2.96052631578947,6.03070175438596,3.78289473684211,0,0
Oregon,Portland,Burundi,4,0,0,0,9,0,0,6,0,4,3,33.33,630331,13.99,7.83646814734193,27.6849993764384,40.8716256816662,21.0026869834359,2.60421981111754,5.274197022777,0.631497794859585,0.565740394317654,0.298175799009104,0.642835277711642,24.4526830153169,3.2323163611215,12.9768828724647,5.03270863802818,21.0446356699885,1.81739850118477,12.4689636406925,4.15858871013458,0.909266124734986,3.46586850787388,0.697255195401517,
Oregon,Portland,Central African Republic,11,0,0,5,3,0,1,10,1,7,3,133.33,630331,13.99,7.83646814734193,27.6849993764384,40.8716256816662,21.0026869834359,2.60421981111754,5.274197022777,0.631497794859585,0.565740394317654,0.298175799009104,0.642835277711642,24.4526830153169,3.2323163611215,12.9768828724647,5.03270863802818,21.0446356699885,1.81739850118477,12.4689636406925,4.15858871013458,0.909266124734986,3.46586850787388,0.697255195401517,
Pennsylvania,Philadelphia,Burundi,5,1,0,0,0,0,11,4,0,0,3,-100,1569657,13.38,10.1529922504237,33.4283783011862,39.8155905481826,16.473085930806,0.12995296940155,1.15624821493174,0.696414630895485,1.55039128696281,0.173270625868733,5.77219672880291,32.6362840115006,0.792094289685638,13.538909727908,10.0877777566214,12.8225023324892,3.12267941126069,11.0479064719435,1.44852339153449,2.44102134465622,1.53135055884537,0.120908623545764,
Pennsylvania,Philadelphia,Ethiopia,1,3,0,0,0,2,11,0,2,1,3,-66.67,1569657,13.38,10.1529922504237,33.4283783011862,39.8155905481826,16.473085930806,0.12995296940155,1.15624821493174,0.696414630895485,1.55039128696281,0.173270625868733,5.77219672880291,32.6362840115006,0.792094289685638,13.538909727908,10.0877777566214,12.8225023324892,3.12267941126069,11.0479064719435,1.44852339153449,2.44102134465622,1.53135055884537,0.120908623545764,0.624059864049201
