state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Kentucky,Louisville,Syria,0,0,1,0,0,1,55,213,114,0,76.6,-100
Connecticut,Hartford,Somalia,45,42,19,29,82,115,127,48,7,0,75.8,-100
Connecticut,New Haven,Syria,0,0,0,0,0,0,19,277,82,5,75.6,-93.39
Arizona,Phoenix,Syria,0,0,0,0,0,1,41,228,107,0,75.4,-100
Washington,Kent,Somalia,0,30,59,50,144,117,55,40,17,3,74.6,-95.98
California,Los Gatos,Iran,2,83,53,33,76,82,83,79,52,0,74.4,-100
Maryland,Baltimore,Syria,0,0,0,0,0,0,26,217,129,0,74.4,-100
Massachusetts,West Springfield,Bhutan,123,113,167,148,137,102,42,64,27,0,74.4,-100
Washington,Seattle,Iran,4,18,22,28,30,25,65,134,118,3,74.4,-95.97
Washington,Spokane,Burma,190,203,143,136,142,78,85,47,19,4,74.2,-94.61
Arizona,Tucson,Syria,0,0,0,0,0,0,56,228,85,0,73.8,-100
Pennsylvania,Lancaster,Dem. Rep. Congo,0,3,2,0,10,25,32,149,151,128,73.4,74.39
South Dakota,Sioux Falls,Somalia,129,20,32,43,49,81,138,64,35,2,73.4,-97.28
North Carolina,High Point,Burma,267,137,93,78,142,89,56,64,15,17,73.2,-76.78
Oregon,Portland,Dem. Rep. Congo,19,106,24,16,49,66,55,123,72,71,73,-2.74
Texas,Abilene,Burma,0,0,0,0,0,89,248,27,0,0,72.8,-100
Illinois,Rockford,Burma,178,175,125,143,71,104,105,65,16,13,72.2,-81.99
Texas,Houston,Eritrea,121,221,65,47,87,73,82,41,75,45,71.6,-37.15
California,San Diego,Afghanistan,14,0,41,21,5,68,65,159,60,47,71.4,-34.17
Utah,Salt Lake City,Bhutan,278,236,179,259,123,94,72,49,17,14,71,-80.28
Missouri,St. Louis,Syria,0,0,0,0,0,0,28,264,62,0,70.8,-100
North Dakota,Fargo,Somalia,36,42,2,38,47,55,80,107,64,0,70.6,-100
Kentucky,Louisville,Cuba,114,132,40,33,152,128,57,5,9,0,70.2,-100
Texas,San Antonio,Dem. Rep. Congo,28,82,10,61,55,34,58,112,90,80,69.8,14.61
Florida,Tampa,Syria,0,0,0,0,0,0,31,185,131,7,69.4,-89.91
Florida,Orlando,Dem. Rep. Congo,0,33,0,33,21,55,55,163,52,6,69.2,-91.33
North Carolina,Raleigh,Somalia,6,73,39,43,76,122,45,44,56,0,68.6,-100
California,Sacramento,Afghanistan,8,24,20,69,67,44,84,88,59,41,68.4,-40.06
Massachusetts,West Springfield,Iraq,51,62,37,62,64,139,79,34,25,0,68.2,-100
New York,Syracuse,Syria,0,0,0,1,0,2,14,198,125,6,67.8,-91.15
Florida,Jacksonville,Cuba,77,119,75,61,114,151,61,8,2,0,67.2,-100
Pennsylvania,Lancaster,Somalia,3,0,0,8,29,95,86,91,35,0,67.2,-100
Idaho,Twin Falls,Dem. Rep. Congo,0,0,0,0,0,2,50,165,117,45,66.8,-32.63
Ohio,Columbus,Burma,39,84,88,61,57,67,124,67,18,18,66.6,-72.97
Colorado,Aurora,Burma,16,12,59,83,86,67,83,72,24,1,66.4,-98.49
Ohio,Cleveland,Somalia,27,28,13,2,30,70,51,106,74,0,66.2,-100
Texas,Austin,Dem. Rep. Congo,9,53,24,21,64,3,40,126,94,38,65.4,-41.9
Maine,Portland,Iraq,46,78,26,38,90,70,72,71,23,5,65.2,-92.33
Tennessee,Knoxville,Iraq,87,145,53,52,93,90,46,73,23,0,65,-100
Indiana,Indianapolis,Syria,0,1,0,5,4,0,20,169,130,0,64.6,-100
Maryland,Silver Spring,Dem. Rep. Congo,0,35,16,10,33,69,105,81,34,24,64.4,-62.73
Kentucky,Bowling Green,Somalia,0,33,44,31,37,34,53,83,114,2,64.2,-96.88
Oregon,Portland,Bhutan,127,114,115,109,117,91,54,25,32,23,63.8,-63.95
Massachusetts,Springfield,Iraq,69,84,20,32,95,132,45,15,27,0,62.8,-100
Washington,Auburn,Ukraine,10,9,7,3,9,9,39,71,186,115,62.8,83.12
New Jersey,Elizabeth,Syria,0,0,0,0,0,0,47,180,86,0,62.6,-100
North Dakota,Grand Forks,Bhutan,58,68,85,107,107,73,46,57,28,30,62.2,-51.77
Florida,Jacksonville,Dem. Rep. Congo,1,22,15,0,9,54,92,101,54,22,62,-64.52
Massachusetts,Lowell,Dem. Rep. Congo,0,11,0,14,6,74,84,107,38,12,61.8,-80.58
Massachusetts,Lowell,Iraq,41,65,29,54,109,117,37,28,16,0,61.4,-100
Illinois,Rock Island,Burma,6,25,59,87,47,71,87,71,30,2,61.2,-96.73
Nebraska,Omaha,Somalia,25,21,7,13,27,43,36,109,91,0,61.2,-100
Nevada,Las Vegas,Iran,42,21,27,50,44,47,74,84,56,3,61,-95.08
New Jersey,Elizabeth,Cuba,29,25,102,96,113,149,27,9,6,0,60.8,-100
Maryland,Baltimore,Bhutan,144,195,374,317,89,91,46,52,25,18,60.6,-70.3
Florida,Orlando,Cuba,78,75,66,40,125,110,51,13,3,0,60.4,-100
Ohio,Columbus,Dem. Rep. Congo,7,34,16,22,26,20,42,117,97,61,60.4,0.99
Pennsylvania,Philadelphia,Syria,0,0,0,0,0,0,6,168,128,0,60.4,-100
Ohio,Akron,Burma,153,90,96,44,65,64,94,46,30,19,59.8,-68.23
